Test 1,,Test 2,,Test 3,
1/C,1/q,1/C,1/q,1/C,1/q
2.04E-02,0.784323696,2.04E-02,0.885747953,2.04E-02,1.60E-01
4.08E-02,0.891141815,4.08E-02,0.85961499,4.08E-02,1.60E-01
6.12E-02,0.897141449,6.12E-02,0.920133345,6.12E-02,1.60E-01
8.16E-02,0.908159856,8.16E-02,0.915046094,8.16E-02,1.60E-01
1.02E-01,0.982905431,1.02E-01,0.94410426,1.02E-01,1.60E-01
1.22E-01,1.05963342,1.22E-01,0.858985508,1.22E-01,1.60E-01
1.43E-01,1.039833986,1.43E-01,0.870913862,1.43E-01,1.61E-01
1.63E-01,1.104985609,1.63E-01,0.88540166,1.63E-01,1.62E-01
1.84E-01,1.119487516,1.84E-01,0.939034345,1.84E-01,1.61E-01
2.04E-01,1.150469546,2.04E-01,0.899541176,2.04E-01,1.61E-01
2.24E-01,1.223342122,2.24E-01,0.881751347,2.24E-01,1.62E-01
2.45E-01,1.28048406,2.45E-01,0.883144013,2.45E-01,1.63E-01
2.65E-01,1.330256667,2.65E-01,0.964012806,2.65E-01,1.63E-01
2.86E-01,1.370209419,2.86E-01,0.955537717,2.86E-01,1.63E-01
3.06E-01,1.378938603,3.06E-01,0.904481764,3.06E-01,1.63E-01
3.27E-01,1.422307374,3.27E-01,0.938742441,3.27E-01,1.63E-01
3.47E-01,1.480533461,3.47E-01,0.963208882,3.47E-01,1.63E-01
3.67E-01,1.497945015,3.67E-01,0.995697345,3.67E-01,1.64E-01
3.88E-01,1.609425273,3.88E-01,1.012144661,3.88E-01,1.64E-01
4.08E-01,1.626977615,4.08E-01,0.999901269,4.08E-01,1.65E-01
4.29E-01,1.69319485,4.29E-01,0.994253501,4.29E-01,1.65E-01
4.49E-01,1.673989546,4.49E-01,0.997139518,4.49E-01,1.65E-01
4.69E-01,1.746981867,4.69E-01,1.018434758,4.69E-01,1.65E-01
4.90E-01,1.748383927,4.90E-01,1.03677446,4.90E-01,1.66E-01
5.10E-01,1.817203006,5.10E-01,0.972732178,5.10E-01,1.66E-01
5.31E-01,1.81588523,5.31E-01,1.037433641,5.31E-01,1.65E-01
5.51E-01,1.85787748,5.51E-01,1.012502791,5.51E-01,1.66E-01
5.71E-01,1.928851798,5.71E-01,0.977682116,5.71E-01,1.66E-01
5.92E-01,1.936260464,5.92E-01,0.993958845,5.92E-01,1.67E-01
6.12E-01,2.036357186,6.12E-01,1.071796334,6.12E-01,1.67E-01
6.33E-01,2.012700393,6.33E-01,0.996785966,6.33E-01,1.67E-01
6.53E-01,2.06831798,6.53E-01,0.999421093,6.53E-01,1.67E-01
6.73E-01,2.152775221,6.73E-01,1.032524862,6.73E-01,1.67E-01
6.94E-01,2.225344213,6.94E-01,1.090371752,6.94E-01,1.68E-01
7.14E-01,2.172970513,7.14E-01,1.049243217,7.14E-01,1.68E-01
7.35E-01,2.305640304,7.35E-01,1.018376073,7.35E-01,1.69E-01
7.55E-01,2.320452601,7.55E-01,1.02912766,7.55E-01,1.69E-01
7.76E-01,2.339105898,7.76E-01,1.037390072,7.76E-01,1.68E-01
7.96E-01,2.427295295,7.96E-01,1.038816652,7.96E-01,1.69E-01
8.16E-01,2.414988657,8.16E-01,1.044764773,8.16E-01,1.69E-01
8.37E-01,2.434322066,8.37E-01,1.048855338,8.37E-01,1.70E-01
8.57E-01,2.527695848,8.57E-01,1.112221296,8.57E-01,1.70E-01
8.78E-01,2.554422678,8.78E-01,1.097243004,8.78E-01,1.70E-01
8.98E-01,2.59070946,8.98E-01,1.125378047,8.98E-01,1.70E-01
9.18E-01,2.675867261,9.18E-01,1.115287106,9.18E-01,1.71E-01
9.39E-01,2.66659987,9.39E-01,1.094699642,9.39E-01,1.71E-01
9.59E-01,2.755963653,9.59E-01,1.132575798,9.59E-01,1.71E-01
9.80E-01,2.76090938,9.80E-01,1.091153966,9.80E-01,1.72E-01
1.00E+00,2.781634131,1.00E+00,1.101204495,1.00E+00,0.171535931
